Artifact,Screen/Section,Exact Claim,Claim Type,Evidence Found,Permission,Risk,Required Replacement,Status
"Desktop Wireframe","Home / Trust strip","50인","Unverified numeric performance claim","Not found in Canonical PRD or evidence register","UNKNOWN","CRITICAL","Replace with approved role/status statement or remove","QUARANTINED"
"Desktop Wireframe","Home / Trust strip","3곳","Unverified numeric organization claim","Not found in Canonical PRD or evidence register","UNKNOWN","CRITICAL","Remove number; use Proven/Built/Designed status only","QUARANTINED"
"Desktop Wireframe","Work card","3개 조직","Unverified organization count","Not found in Canonical PRD or evidence register","UNKNOWN","CRITICAL","Use anonymized approved context only after permission","QUARANTINED"
"Desktop Wireframe","Work card","파일럿","Unverified delivery claim","No approved artifact, role, outcome, or permission","UNKNOWN","CRITICAL","Use Prototype/Designed label and claim boundary","QUARANTINED"
"Desktop Wireframe","Work card","실제 운영 완료","Unverified completion claim","Not found in Canonical PRD or evidence register","UNKNOWN","CRITICAL","Replace with current status and what exists today","QUARANTINED"
"Desktop Wireframe","Work card","성과 검증","Unverified outcome claim","No outcome evidence or permission","UNKNOWN","CRITICAL","Remove result language; link only approved evidence","QUARANTINED"
"Desktop Wireframe","Capability section","제조업 현장 적용","Unverified sector/application claim","Not found as approved attribution in source pack","UNKNOWN","HIGH","Use generic problem framing or approved sector evidence","QUARANTINED"
"Mobile Wireframe","Work card","제조 현장 50인 대상","Unverified numeric audience claim","No source artifact or permission","UNKNOWN","CRITICAL","Remove number and audience assertion","QUARANTINED"
"Mobile Wireframe","Work card","스타트업 3곳","Unverified organization count","No source artifact or permission","UNKNOWN","CRITICAL","Use approved anonymized context only","QUARANTINED"
"Mobile Wireframe","Work card","3개 조직 수동 파일럿","Unverified pilot claim","No approved evidence, role, outcome, or permission","UNKNOWN","CRITICAL","Replace with Prototype status and scope","QUARANTINED"
"Mobile Wireframe","Education section","실전 적용 세션 3회","Unverified delivery count","No source artifact or permission","UNKNOWN","HIGH","Remove count; use approved activity description","QUARANTINED"
"Mobile Wireframe","Status label","운영 종료·성과 검증","Unverified lifecycle/outcome label","Current project status not supplied","UNKNOWN","CRITICAL","Use only approved status label: Proven/Built/Designed/Exploring/Paused","QUARANTINED"
"Mobile Wireframe","Status label","프로토타입 검증 완료","Unverified validation claim","No validation evidence in Source Pack","UNKNOWN","CRITICAL","Use Built/Prototyped without validation outcome","QUARANTINED"
"Desktop/Mobile Wireframe","Privacy","privacy@jerrybay.com","Unverified privacy contact","Controller and contact not approved","UNKNOWN","CRITICAL","Keep legal placeholder; do not invent contact","QUARANTINED"
"Desktop/Mobile Wireframe","Privacy","JERRYBAY 운영팀","Unverified responsible entity","Operating/legal entity not decided","UNKNOWN","CRITICAL","OWNER DECISION before any policy copy","QUARANTINED"
"Desktop/Mobile Wireframe","Privacy","© 2025; 시행일·개정일; 보유 1년","Fabricated legal dates/retention","No data inventory or approved policy","UNKNOWN","CRITICAL","Remove dates and retention until legal/data review","QUARANTINED"
